Workflow ID;Anbieter;Durchlauf ID;Detektionsdauer (in ms);Umschreibedauer (in ms);Bereich 1;Bereich 2;Bereich 3;Bereich 4;Bereich 5;Bereich 6;;Median aus 100 Durchläufen;Workflow ID;Anbieter;Detektionsdauer (in ms);Umschreibedauer (in ms)
1;IBM;1;355;112220;70591;41629;;;;;;;1;IBM;310,5;107475,5
1;IBM;2;379;105218;63333;41885;;;;;;;1;AWS;316;108125
1;IBM;3;313;109651;67402;42249;;;;;;;2;IBM;448;108160,5
1;IBM;4;283;112101;66178;45923;;;;;;;3;AWS;486;216419,5
1;IBM;5;294;112360;70609;41751;;;;;;;4;IBM;748,5;324965,5
1;IBM;6;288;104988;63362;41626;;;;;;;5;AWS;434,5;297459,5
1;IBM;7;283;105522;63083;42439;;;;;;;6;IBM;580;612052
1;IBM;8;314;119778;69239;50539;;;;;;;7;AWS;698;898832,5
1;IBM;9;385;118618;67838;50780;;;;;;;;;;
1;IBM;10;271;107159;61297;45862;;;;;;;;;;
1;IBM;11;298;106196;63117;43079;;;;;;;;;;
1;IBM;12;302;108416;68321;40095;;;;;;;;;;
1;IBM;13;299;113364;65522;47842;;;;;;;;;;
1;IBM;14;371;106145;59897;46248;;;;;;;;;;
1;IBM;15;276;113519;70354;43165;;;;;;;;;;
1;IBM;16;294;106859;62738;44121;;;;;;;;;;
1;IBM;17;288;106207;65493;40714;;;;;;;;;;
1;IBM;18;315;111365;69058;42307;;;;;;;;;;
1;IBM;19;300;108410;66543;41867;;;;;;;;;;
1;IBM;20;355;117185;67298;49887;;;;;;;;;;
1;IBM;21;278;103575;60278;43297;;;;;;;;;;
1;IBM;22;335;109131;61837;47294;;;;;;;;;;
1;IBM;23;256;105009;63790;41219;;;;;;;;;;
1;IBM;24;298;110074;66073;44001;;;;;;;;;;
1;IBM;25;283;105412;62908;42504;;;;;;;;;;
1;IBM;26;326;110260;68121;42139;;;;;;;;;;
1;IBM;27;311;101140;60378;40762;;;;;;;;;;
1;IBM;28;286;109437;63004;46433;;;;;;;;;;
1;IBM;29;349;103585;62757;40828;;;;;;;;;;
